,city_name,group
263,Jasseron,3
264,Jayat,4
265,Journans,0
266,Joyeux,3
267,Jujurieux,4
268,Labalme,0
269,Lagnieu,3
270,Lagnieu,3
271,Lagnieu,3
272,Lagnieu,3
273,Lagnieu,4
274,Lagnieu,3
275,Laiz,3
276,Le Poizat-Lalleyriat,3
277,Lancrans,3
278,Lantenay,3
279,Lapeyrouse,3
280,Lavours,4
281,Léaz,3
282,Lélex,1
283,Lent,3
284,Lescheroux,4
285,Leyment,4
286,Leyssard,4
287,Lhôpital,0
288,Lhuis,3
289,Lochieu,3
290,Lompnas,3
291,Lompnieu,3
292,Loyettes,4
293,Loyettes,4
294,Lurcy,3
295,Magnieu,4
296,Maillat,3
297,Malafretaz,3
298,Mantenay-Montlin,3
299,Manziat,3
300,Marboz,3
301,Marboz,3
302,Marchamp,3
303,Marignieu,4
304,Marlieux,3
305,Marsonnas,3
306,Martignat,3
307,Massieux,3
308,Massieux,3
309,Massignieu-de-Rives,3
310,Matafelon-Granges,4
311,Meillonnas,0
312,Mérignat,0
313,Messimy-sur-Saône,3
314,Meximieux,3
315,Meximieux,0
316,Meximieux,0
317,Meximieux,3
318,Meximieux,3
319,Bohas-Meyriat-Rignat,0
320,Bohas-Meyriat-Rignat,3
321,Bohas-Meyriat-Rignat,3
322,Mézériat,3
323,Mijoux,3
324,Mionnay,3
325,Mionnay,3
326,Miribel,3
327,Miribel,0
328,Miribel,0
329,Miribel,3
330,Miribel,3
331,Miribel,0
332,Misérieux,3
333,Mogneneins,3
334,Montagnat,3
335,Montagnieu,3
336,Montanges,3
337,Montceaux,4
338,Montcet,3
339,Le Montellier,3
340,Monthieux,3
341,Montluel,2
342,Montluel,4
343,Montluel,3
344,Montluel,3
345,Montmerle-sur-Saône,3
346,Montmerle-sur-Saône,3
347,Montmerle-sur-Saône,3
348,Montracol,3
349,Montréal-la-Cluse,3
350,Montréal-la-Cluse,3
351,Montrevel-en-Bresse,3
352,Montrevel-en-Bresse,3
353,Nurieux-Volognat,3
354,Murs-et-Gélignieux,3
355,Nantua,3
356,Nantua,3
357,Neuville-les-Dames,3
358,Neuville-sur-Ain,4
359,Les Neyrolles,4
360,Neyron,1
361,Niévroz,3
362,Nivollet-Montgriffon,3
363,Nivollet-Montgriffon,0
364,Oncieu,3
365,Ordonnaz,1
366,Ornex,0
367,Ornex,1
368,Outriaz,3
369,Oyonnax,3
370,Oyonnax,3
371,Oyonnax,3
372,Oyonnax,3
373,Oyonnax,0
374,Oyonnax,2
375,Oyonnax,2
376,Oyonnax,2
377,Oyonnax,2
378,Oyonnax,3
379,Oyonnax,3
380,Ozan,4
381,Parcieux,3
382,Parves et Nattages,0
383,Parves et Nattages,0
384,Péron,3
385,Péron,3
386,Péronnas,0
387,Péronnas,0
388,Péronnas,0
389,Péronnas,1
390,Péronnas,1
391,Pérouges,3
392,Perrex,3
393,Peyriat,3
394,Peyrieu,3
395,Peyzieux-sur-Saône,4
396,Pirajoux,4
397,Pizay,3
398,Plagne,3
399,Le Plantay,3
400,Polliat,3
401,Polliat,3
402,Pollieu,0
403,Poncin,4
404,Pont-d'Ain,4
405,Pont-de-Vaux,3
406,Pont-de-Veyle,3
407,Port,3
408,Pougny,0
409,Pouillat,4
410,Prémeyzel,4
411,Prémillieu,4
412,Prévessin-Moëns,1
413,Prévessin-Moëns,1
414,Prévessin-Moëns,1
415,Prévessin-Moëns,1
416,Prévessin-Moëns,1
417,Priay,4
418,Ramasse,4
419,Rancé,3
420,Relevant,3
421,Replonges,3
422,Replonges,3
423,Revonnas,0
424,Reyrieux,1
425,Reyrieux,1
426,Reyrieux,3
427,Reyssouze,3
428,Rignieux-le-Franc,4
429,Romans,3
430,Rossillon,4
431,Ruffieu,0
432,Saint-Alban,0
433,Saint-André-de-Bâgé,3
434,Saint-André-de-Corcy,4
435,Saint-André-de-Corcy,0
436,Saint-André-de-Corcy,3
437,Saint-André-d'Huiriat,4
438,Saint-André-le-Bouchoux,3
439,Saint-André-sur-Vieux-Jonc,3
440,Saint-Bénigne,3
441,Groslée-Saint-Benoît,3
442,Groslée-Saint-Benoît,3
443,Saint-Bernard,1
444,Saint-Champ,1
445,Sainte-Croix,3
446,Saint-Cyr-sur-Menthon,3
447,Saint-Denis-lès-Bourg,0
448,Saint-Denis-lès-Bourg,0
449,Saint-Denis-lès-Bourg,0
450,Saint-Denis-lès-Bourg,3
451,Saint-Denis-lès-Bourg,0
